"titulo","ano","duracion","pais","direccion","guion","musica","fotografia","reparto","productora","genero","sinopsis","criticas","premios"
"Chapelwaite","2021","48 min.","Estados Unidos","Stephen King (Creador), Rachel Leiterman, Michael Nankin, Jeff Renfroe, Burr Steers","Stephen King. Historia: Stephen King","Mark Korven","David Greene, Miroslaw Baszak","Adrien Brody, Jennifer Ens, Sirena Gulamgaus, Emily Hampshire, Ian Ho, Trina Corkum, Genevieve DeGraves, Gord Rand, Allegra Fulton, Dean Armstrong, Michael Hough, Sebastien Labelle, Glenn Lefchak, Joanne Boland, Christopher Heyerdahl, Charlie Rhindress, Jennie Raymond, David Rossetti, Vox Smith, Hugh Thompson, Mary-Colin Chisholm, Lily Gao, Jordan Poole, Reid Price, Peter Sarty, Sean Skerry, Ian Wilsonver 14 más","Epix. Distribuidora: Epix","Serie de TV. Drama. Terror. Intriga","El capitán Charles Boone hace que su familia de tres hijos se traslade a su antigua casa en un pueblo pequeño y aparentemente tranquilo de Preacher's Corners, Maine, tras la muerte de su mujer en el mar.","""Te golpea como una estaca en el corazón. Esta serie basada en un relato de Stephen King nunca pierde el ritmo ni deja de ser intrigante"" 
Candice Frederick: The Wrap
""Tiene buenas ideas enterradas ahí, y un magnífico estilo gótico que atraerá a los fans del género (...) Pero tiene es una serie con un ritmo muy deliberado, que es una manera agradable de decir que es lenta como la melaza"" 
Chris Evangelista: SlashFilm
""Una historia de horror gótico metódicamente construida (...) Aunque el final es satisfactorio, también decepciona al no explorar sus posibilidades terroríficas más allá de la superficie (...) Puntuación: ★★★ (sobre 5)"" 
Meagan Navarro: Bloody Disgusting
""Una vez más, el mundo de King y sus tramas creativas se plasman en la pantalla con otra miniserie que parece no tener ni idea de lo larga que debería ser"" 
Brian Tallerico: The Playlist
""Falla en algunos puntos en lo que respecta a la motivación de los personajes y en su recargado drama, pero logra ser, al mismo tiempo, sencilla y sorprendente"" 
Kayla Kumari Upadhyaya: AV Club
""Es decepcionante, en gran parte porque nadie quería en realidad adaptar el relato corto de King, 'Jerusalem’s Lot', pero lo hicieron de todas formas."" 
Daniel Fienberg: The Hollywood Reporter
""Lo que más duele es que al principio funciona a la perfección... (...) Pero hacia la mitad, se vuelve evidente que aquí no hay suficiente historia para llenar las últimas cinco horas."" 
Tara Bennett: Paste Magazine",NA
"Las iguanas","2022",NA,"Colombia","Frank Benitez Peña","Lina Arboleda, Frank Benitez Peña",NA,"Will Vela","Camilo Amores, Silvia Varón, Mario Espitia, Isabel Gaona, Rafael Zea, John Alexander Mora, Camila Valenzuela, Pilar Diaz Quesada, Diana Bolaños, Edward Gomez","Séptima Films. Distribuidora: HBO Max","Serie de TV. Drama | Miniserie de TV. Abusos sexuales","La amistad y la confianza de un grupo de amigos puede desmoronarse bajo el peso de un acto de abuso.",NA,NA
"The Time Traveler's Wife","2022","50 min.","Estados Unidos","Steven Moffat (Creador), David Nutter","Steven Moffat. Novela: Audrey Niffenegger","Blake Neely","Peter Menzies Jr.","Rose Leslie, Theo James, Desmin Borges, Natasha Lopez, Jason David, Kate Siegel, Jaime Ray Newman, Taylor Richardson, Josh Stamberg, Spencer House, Chelsea Frei, Michael Park, Will Brill, Marcia DeBonis, Brian Altemus, Everleigh McDonell, Peter Graham, Finnerty Steeves, Tim Lajcikver 6 más","Coproducción Estados Unidos-Reino Unido;
Hartswood Films, Warner Bros. Television. Distribuidora: HBO, HBO Max","Serie de TV. Fantástico. Drama | Viajes en el tiempo","La relación de una pareja se pone a prueba cuando se trata de viajes en el tiempo. Una adaptación televisiva de la novela de Audrey Niffenegger ""La esposa del viajero en el tiempo"".","""Es casi una tormenta perfecta de todo lo que es grandioso y terrible de Moffat como narrador (...) Es difícil no sentir que es una historia ya hemos visto antes"" 
Lacy Baugher: Paste Magazine
""Una historia sobre una vida repetitiva, contada de forma repetitiva (...) No logra convencer de que la pareja comparta mucho más que una comprensión de los obstáculos que los separan"" 
Daniel D'Addario: Variety
""Irresistiblemente entretenida, casi a pesar de sí misma (...) esta versión se acerca totalmente a replicar la sensación que se obtiene leyendo la novela de Niffenegger"" 
Carly Lane: Collider
""Ocasionalmente, James y especialmente Leslie logran hacerte entender porqué el amor de Henry y Claire es tan cautivador"" 
William Hughes: AV Club
""Al menos es tan mala que te ríes (...) Algunos diálogos logran ser poéticamente horribles"" 
Darren Franich: Entertainment Weekly
""Una adaptación chispeante aunque irregular (...) Es una mezcolanza que puede que te guste contra tus primeros instintos (...) Puntuación: ★★★ (sobre 5)"" 
Huw Fullerton: Radio Times
""Moffat y el director David Nutter la hacen entretenida, pero no logran conjurar la emoción o dramatizar las ideas que tantas personas han encontrado en esta historia"" 
Mike Hale: The New York Times
Mostrar 5 críticas más",NA
"Sluga narodaaka","2015","20 min.","Ucrania","Vladimir Zelenskiy (Creador), Aleksey Kiryushchenko","Vladimir Zelenskiy","Dmytro Shurov",NA,"Vladimir Zelenskiy, Vladyslav Dmytrenko, Boris Abramov, Anastasiya Chepelyuk, Stanislav Boklan, Viktor Sarajkin, Natalia Sumskaya, Ekaterina Kisten, Elena Kravets, Evgeniy Koshevoy, Yuriy Krapov, Aleksandr Pikalov, Anna Koshmal, Galina Bezruk, Oleg Karpenko","Kvartal 95 Studio","Serie de TV. Comedia | Sátira. Política","Serie de TV (2015 - 2019). 51 episodios. 3 temporadas. Un maestro se convierte en presidente de su país, Ucrania.

El creador de la serie y actor, Vladimir Zelenskiy, se convertiría en presidente de Ucrania en 2019.","""Con su chaleco blanco, el diminuto Zelensky recuerda a Joe Pesci. Su sincronización cómica es exquisita, su carisma indudable (...) Puntuación: ★★★★ (sobre 5)"" 
Chris Bennion: Telegraph
""La sátira es mordaz, pero universal, y no es necesario un manual básico sobre la vida política ucraniana para comprender lo que sucede en este encantadora serie"" 
Scott Hines: Decider
""Por todo, y por su hermosa canción de apertura, 'Servidor del pueblo' es una serie que vale la pena ver. Veremos cómo sigue la historia fuera de la pantalla."" 
Santiago García: Leer Cine",NA
"Hacks","2021","30 min.","Estados Unidos","Lucia Aniello (Creador), Paul W. Downs (Creador), Jen Statsky (Creador), Lucia Aniello, Desiree Akhavan, Paul W. Downs","Lucia Aniello, Paul W. Downs, Jen Statsky, Katherine Kearns, Joanna Calo, Ariel Karlin, Andrew Law, Pat Regan, Samantha Riley. Historia: Katherine Kearnsver 6 más","Carlos Rafael Rivera","Adam Bricker","Jean Smart, Hannah Einbinder, Rose Abdoo, Hayes Beyersdorfer, Tanisha Harper, Josh Lopez, Ulysses Morazan, Rochelle Robinson, Jane Adams, Brittney Alger, Cassandra Blair, Olivia Boreham-Wing, Sean Patrick Bryan, Alexandre Chen, Andi Rene Christensen, Louis Herthum, Presley Schrader, Carl Clemons-Hopkins, Paul W. Downs, Mark Indelicato, Poppy Liu, Christopher McDonald, Kaitlin Olson, Alonzo Saunders, Johnny Sibillyver 12 más","3 Arts Entertainment, First Thought Productions, Fremulon, Paulilu Productions, Universal TV, Universal Pictures Television. Distribuidora: HBO Max","Serie de TV. Comedia. Drama | Stand-Up","Explora el oscuro proceso de enseñanza y aprendizaje entre Deborah Vance, una legendaria cómica de Las Vegas, y una joven resuelta de 25 años. ","""[Crítica 2ª temporada]: 'Hacks' surgió completamente formada, como una de las mejores series del 202, y un gran alivio informar que la nueva temporada no muestra signos del temido bajón del segundo año"" 
Kristen Baldwin: Entertainment Weekly
""[Crítica 2ª temporada]: el dúo dinámico entre Ava y Deborah es tan disfrutable como siempre (...) Desarrollo de personajes aparte, sigue siendo acerba e hilarante"" 
Clare Martin: Paste Magazine
""[Crítica 2ª temporada]: Jean Smart continúa con su supremo reinado. Una vez más, ofrece una icónica interpretación como Deborah Vance"" 
Meghan O'Keefe: Decider
""[Crítica 2ª temporada]: aun siendo todo lo divertida que es, y todo lo conmovedora que resulta, su fuerza más perdurable es su dirección"" 
Caroline Framke: Variety
""[Crítica 2ª temporada]: Lo hace de nuevo. Se inclina hacia sus puntos fuertes, mientras que reconoce nuevas oportunidades"" 
Ben Travers: IndieWire
""[Crítica 2ª temporada]: en general, es una temporada con mayores expectativas y mayores recompensas, a nivel emocional"" 
Rebecca Landman: Collider
""[Crítica 2ª temporada]: aunque sigue siendo un verdadero placer ver a una actriz tan dotada como Smart con un rol jugoso, esta última temporada no está a la altura del nivel fijado por la primera"" 
Marya E. Gates: The Playlist
Mostrar 24 críticas más","2021: Globos de Oro: Mejor serie comedia y actriz (Smart)
2021: Emmy: Mejor actriz comedia (Smart), dirección y guion. 7 nominaciones
2021: American Film Institute (AFI): Top 10 - Mejores Programas de TV del año
2021: Critics Choice Awards: Mejor actriz comedia (Smart)
2021: Sindicato de Directores (DGA): Mejor dirección en serie comedia
2021: Sindicato de Guionistas (WGA): Mejor guion serie comedia y nueva
Mostrar 5 premios más
2021: Sindicato de Actores (SAG): Mejor actriz comedia (Smart)
2021: Premios Gotham: Nom. serie revelación/Form. corto e interpret. serie nueva
2021: Satellite Awards: Mejor actriz serie de TV - Comedia o musical (Smart). 2 nom."
"Spree","2020","93 min.","Estados Unidos","Eugene Kotlyarenko","Eugene Kotlyarenko, Gene McHugh",NA,"Jeff Leeds Cohn","Joe Keery, Sasheer Zamata, David Arquette, Kyle Mooney, Mischa Barton, Frankie Grande, Lala Kent, Joshua Ovalle, Reatha Grey, Caroline Hebert, Sunny Kim, Linas Phillips, John DeLuca, Jessalyn Gilsig, Sean Avery, Victor Winters-Junco, Amir M. Korangy, Valeria Malikova, Amia Batoon, Michael Chubb, Ciro Suárez, A.J. Del Cueto, Honor Levy, Andy Faulkner, Marques Buford, David Cárdenasver 13 más","Forest Hill Entertainment","Comedia. Thriller. Terror | Internet / Informática. Asesinos en serie. Redes sociales","Desesperado por conseguir nuevos ""followers"", Kurt Kunkle es el conductor de un Uber que ha ingeniado un plan mortífero para hacerse viral. ","""Es como un capítulo extendido de 'Black Mirror'. Empieza siendo una divertida comedia gonzo que se deleita en su propio gore, pero se alarga demasiado (…) Puntuación: ★★ (sobre 5)"" 
Meagan Navarro: Bloody Disgusting
""Un paseo interesante para aquellos que no estén demasiado saturados de los medios sociales (...) Es una película sobre un asesino en serie que no podría llegar en mejor momento"" 
John DeFore: The Hollywood Reporter
""Es una orgía de estilo. Y las orgías no son para todo el mundo. Puede que sea demasiado para muchos espectadores e incluso para las plataformas streaming (...) Échale un vistazo si puedes, o si te van las cosas raras."" 
Johnny Oleksinski: New York Post
""Keery lo hace muy bien, (...) pero no hay nada de divertido en verle meterse en la piel de este maníaco, como tampoco en disfrutar de la experiencia de ver esta película."" 
Ben Pearson: SlashFilm
""Si necesitas otro recordatorio del potencial más extremo de las redes sociales (...) 'Spree' se merece un 'like'. Para el resto, el mejor consejo es que la silencies, la bloquees, que dejes de seguirla o que simplemente pases de ella"" 
Jessica Kiang: Variety
""Creo que logra todo lo que se propone. No sólo es entretenida, intrigante e intensa. Es impactante, y puede lograr que te cambie la vida al reflexionar sobre cómo la popularidad en Internet ha creado una subcultura que está causando que la gente se vuelva loca."" 
Alex Billington: First Showing
""Keery me impresionó, pero hay algo un poco insulso en 'Spree' que no me permite tomármela en serio (...) Parece que trata de profundizar demasiado en su estilo, y por eso al final no termina de encajar."" 
Jeff Sneider: Collider
Mostrar 2 críticas más",NA
"The Staircase","2022","65 min.","Estados Unidos","Antonio Campos (Creador), Antonio Campos, Leigh Janiak","Antonio Campos, Maggie Cohn, Aja Gabel, Craig Shilowich, Emily Kaczmarek","Danny Bensi, Saunder Jurriaans","Lyle Vincent, Michael Svitak","Colin Firth, Toni Collette, Parker Posey, Sophie Turner, Juliette Binoche, Rosemarie Dewitt, Patrick Schwarzenegger, Michael Stuhlbarg, Dane DeHaan, Odessa Young, Olivia DeJonge, Vincent Vermignon, Tim Guinee, Kevin Sizemore, Justice Leak, Cory Scott Allen, Robert Crayton, Joel McKinnon Miller, Trini Alvarado, Cullen Moss, Daniela Lee, Teri Wyble, Susan Pourfar, Jason Davis, Frank Feys, Paul Vincent Freeman, Jean-Luc McMurtry, Erik J. Jensen, Jean Alexander, Maria Dizzia, James Healy Jr., Alex D. Jennings, William Gregory Leever 20 más","Annapurna Television, HBO Max. Distribuidora: HBO Max","Serie de TV. Drama. Intriga | Miniserie de TV. Basado en hechos reales. True Crime","8 episodios. El escritor Michael Peterson, afligido por la muerte de su esposa Kathleen, que cayó por una escalera, es acusado de asesinarla. ","""Un fascinante drama 'true crime' (...) Trata sobre las diferentes versiones de la justicia, el enjuiciamiento público, la traición y la lealtad familiar. Realmente, lo tiene todo y claramente Campos le saca el máximo partido"" 
Brian Tallerico: The Playlist
""El documental de Lastrade abordaba ideas similares, pero esta serie las lleva más allá, ampliando las convenciones modernas del género e incorporando el impacto que tuvo el documental original sobre la 'justicia' para Michael"" 
Ben Travers: IndieWire
""Verla no sólo anima a revisitar el documental, sino que demanda una visión conjunta de ambos, con cada una de ellas completando con éxito a la otra en su existencia"" 
Carly Lane: Collider
""Hay sustancia y consistencia más allá del 'misery porn' (...) Una buena serie sobre un gran documental"" 
Daniel Fienberg: The Hollywood Reporter
""Recorre mucho del territorio que ya cubría Lestrade, pero lo que hace que funcione desde sus escenas iniciales es el retrato de Colin Firth como Michael Peterson"" 
Siddhant Adlakha: IGN
""Si te gustó 'The Staircase', te encantará... 'The Staircase' (...) Aunque mantiene un ojo atento en los hechos del caso, es una historia real que mejora mucho no permitiendo que la verdad se interponga en el camino de una buena historia"" 
Olivia Ovenden: Esquire
""Llena de ambigüedades engañosas y complicadas que a menudo son fascinantes y, a veces, simplemente desconcertantes (...) Sus mejores momentos evocan la incómoda fascinación de un buen documental 'true crime'"" 
Jesse Hassenger: The Wrap
Mostrar 14 críticas más",NA
"Las Bravas F.C.","2022","50 min.","México","Ariel Winograd","Javier Reguilón, Luis Gamboa, Paula Rendón, Helen Santiago. Idea: Enrique Pérez Vergara","Felipe Pérez Santiago","Daniel Jacobs","Mauricio Ochmann, Mauricio Barrientos, Ana Valeria Becerril, Irán Castillo, José Sefami, Juan Carlos Colombo, Ana Jimena Villanueva, Keyla Caputo, Kariam Castro, Ari Albarran. Cameo: Jorge Valdano, Jorge Campos","11:11 Films, Mediapro. Distribuidora: HBO Max","Serie de TV. Comedia. Drama | Fútbol","El que fuera el mejor jugador de fútbol del mundo está arruinado. Pero entrenar a un equipo de fútbol femenino podría devolverle algo de dignidad... y también a su hija. Las Bravas F.C.","""¡Qué cosa tan más divertida, bonita y positiva! (...) su nivel de producción es altísimo y porque el reparto es lo máximo de lo máximo."" 
Álvaro Cueva: Diario Milenio",NA
"Theodosia","2022","26 min.","Francia","Matthias Hoene, Matt Bloom, Alexander James Jacob","Joe Williams, Claire Miller. Historia: George Poles. Libro: Robin L. LaFevers","Alexandre Lessertisseur","Pierre-Hugues Galien","Eloise Little, Frankie Minchella, Nana Agyeman-Bediako, Yasmina El-Abd, Elisa Doughty, Rik Young, Anthony J. Abraham, Olivia Barrowclough, Nahid Leadar, Trine Thielen, Barbara Hellemans, Axel Baille","BE-FILMS, Cottonwood Media. Distribuidora: HBO Max","Serie de TV. Aventuras. Fantástico | Magia. Cine familiar","Theodosia Throckmorton (también conocida como Theo) es la inteligente y audaz hija de 14 años de dos intrépidos egiptólogos que excavaban en el Valle de los Reyes en 1906. Cuando Theo y su hermano menor, Henry, loco por los inventos, se topan con una tumba oculta y un artefacto misterioso, el 'Ojo de Horus'., Theo desbloquea el poder de ver y realizar magia verdadera, descubriendo así un mundo completamente nuevo de misterio y peligro.","""Funciona principalmente gracias a la interpretación de Eloise Little como Theo y la química que se construye entre su personaje y el grupo que lucha contra las fuerzas de la magia oscura"" 
Joel Keller: Decider
""Tiene reminiscencias a las primeras películas de Harry Potter (...) Theodosia es un personaje fabuloso (...) Si tiene algún fallo, es que es casi demasiado perfecta"" 
Ashley Moulton: Common Sense Media",NA
"Made for Love","2021","30 min.","Estados Unidos","Dean Bakopoulos (Creador), Christina Lee (Creador), Alissa Nutting (Creador), S.J. Clarkson, Stephanie Laing, Alethea Jones","Sarah McCarron, Patrick Somerville, Dean Bakopoulos, Christina Lee, Alissa Nutting, Sarah Labrie, Sarah Solemani, Kim Steele. Novela: Alissa Nuttingver 5 más","Keefus Ciancia","Nathaniel Goodman","Cristin Milioti, Augusto Aguilera, Noma Dumezweni, Ray Romano, Caleb Foote, Dutch-Barre Johnson, Raymond Lee, Billy Magnussen, Dan Bakkedahl, Tom Bower, Dontez James, Celeste Pechous, Juliet Rusche, Aris Alvarado, Hope Banks, Matthew Bilodeau, Matty Cardarople, Brent Chase, Chelsea Conwright, Celeste Den, Alfonso DiLuca, Ashley Dulaney, Ariel Flores, Nyasha Hatendi, Jayden Lund, Brandon Morales, Kelsey Toussant, Frank Scozzariver 15 más","Paramount Television. Distribuidora: HBO Max","Serie de TV. Comedia. Drama | Internet / Informática","8 episodios. Una joven, que huye tras 10 años en un matrimonio sofocante con un multimillonario experto en tecnología, de repente se da cuenta de que su esposo ha implantado un novedoso y revolucionario dispositivo de monitorización en su cerebro que le permite rastrear todos sus movimientos.","""Si la serie hubiera dejado que el colapso lento pero repentino de la vida idílica de Hazel tuviera más tensión, habría sido más efectiva. Se limita a mostrar todas sus cartas y dejar que el caos impere"" 
Caroline Framke: Variety
""La cantidad de reflexión que se ha puesto en la trama, los temas y las actuaciones hace que los cuatro primeros capítulos sean una experiencia absorbente"" 
Andrew Crump: The Playlist
""Tiene un reparto excelente y buenas ideas, pero se ve debilitada por una narración confusa (...) Sazonada con bromas punzantes, la serie no habría funcionado si no fuera por sus buenas actuaciones principales"" 
Ben Travers: IndieWire
""Cristin Milioti está soberbia en esta mezcla siniestra e hilarante de ciencia ficción, terror y comedia (...) Tiene un primer capítulo que te engancha y garantiza que la verás entera."" 
Jacob Hall: SlashFilm
""A día de hoy, esta historia ya la hemos visto varias veces antes, pero merece la pena pasar tiempo con Milioti, aunque la serie no sea la pareja que ni ella ni nosotros merecemos."" 
Kristen Baldwin: Entertainment Weekly
""Todas las interpretaciones hacen que sea creíble. Seguiré viéndola por sus estrellas y por los destellos de sus diálogos mordaces"" 
Daniel Fienberg: The Hollywood Reporter
""Después de cuatro capítulos, 'Made for Love' es más 'interesante' que 'entretenida' y me habría gustado que fuera más lo último, dada su premisa y su reparto."" 
Brian Tallerico: rogerebert.com
Mostrar 3 críticas más","2021: Critics Choice Awards: Nominada a mejor actor secundario comedia (Romano)"
"We Own This City","2022","60 min.","Estados Unidos","David Simon (Creador), George Pelecanos (Creador), Reinaldo Marcus Green","David Simon, George Pelecanos, Ed Burns, William F. Zorzi, D. Watkins. Libro: Justin Fenton","Kris Bowers","Yaron Orbach","Jon Bernthal, Treat Williams, Josh Charles, Jamie Hector, Domenick Lombardozzi, Don Harvey, Delaney Williams, Rob Brown, Tray Chaney, Wunmi Mosaku, Darrell Britt-Gibson, Dagmara Dominczyk, David Corenswet, McKinley Belcher III, Gabrielle Carteris, Ian Duff, Jermaine Crawford, Thaddeus Street, Anita Moore, Leah Pressmanver 7 más","Crime Story Media, HBO. Distribuidora: HBO Max","Serie de TV. Drama. Thriller | Miniserie de TV. Policíaco. Basado en hechos reales. Crimen","6 episodios. Baltimore, 2015. La muerte en circunstancias sospechosas de Freddie Gray, un joven negro bajo custodia policial, ha provocado una ola de disturbios. La ciudad alcanza un nuevo récord de asesinatos. Bajo presión por la oficina del alcalde y por una investigación federal sobre la muerte de Gray, la policía de Baltimore recurre al Sargento Wayne Jenkins y a su unidad de élite de agentes de paisano, para librar las calles de armas y drogas. Sin embargo, una conspiración criminal sin precedentes se desarrolla en el departamento de policía, mientras Jenkins decide explotar la crisis.","""Se beneficia de su cercanía a 'The Wire' y también sufre por la misma causa: porque puedes ser una serie condenadamente sólida y aun así, no ser 'The Wire'. ¿'We Own This City'? Aun con todos sus fallos, es condenadamente sólida"" 
Daniel Fienberg: The Hollywood Reporter
""Propulsada por una interpretación de nervio de Jon Bernthal, y sostenida por diálogos increíblemente inteligentes, 'We Own This City' es una miniserie que sobresale incluso en una época saturada de dramas de prestigio. (...) Calificación: ★★★½ (sobre 4)"" 
Brian Tallerico: rogerebert.com
""Jon Bernthal y Wunmi Mosaku brillan en este cáustico análisis de lo que sucede cuando el poder se escapa fuera de control (...) cuando las cosas se disparan, lo hacen de manera espectacular"" 
Maggie Boccella: Collider
""Una acompañante ambiciosa, pero irregular, para 'The Wire' (...) Es la clase de historia alucinante que te hace preguntarte cuántas más existen todavía por ahí"" 
Inkoo Kang: The Washington Post
""Simon y Pelecanos usan una narrativa de saltos temporales para hacer malabarismos con múltiples subtramas (...) Reinaldo Marcus Green mezcla con elegancia una impactante violencia con tensos interrogatorios policiales"" 
Kristen Baldwin: Entertainment Weekly
""Gracias a su claro guion, un montaje experto y unas interpretaciones distintivamente únicas, es fácil seguirle el ritmo, aunque es difícil desentrañar la magnitud de la corrupción que se señala (...) Puntuación: ★★★½ (sobre 4)"" 
Richard Roeper: Chicago Sun-Times
""Una mirada hipnótica a la corrupción americana (...) 'We Own This City' hace que esto siga mereciendo nuestra atención aunque su historia esté lejos de ser la última"" 
Steve Greene: IndieWire
Mostrar 9 críticas más",NA
"Gentleman Jack","2019","60 min.","Reino Unido","Sally Wainwright (Creador), Sarah Harding, Jennifer Perrott","Sally Wainwright, Jill Liddington, Anne Lister","Murray Gold","Matt Gray, Simon Chapman, Nick Dance","Suranne Jones, Sophie Rundle, Joe Armstrong, Jessica Baglow, Amelia Bullmore, Rosie Cavaliero, Stephanie Cole, Peter Davison, Shaun Dooley, Vincent Franklin, Thomas Howes, Gemma Jones, Lydia Leonard, Jodhi May, Timothy West, Gemma Whelan, Anthony Flanagan, Daniel Weyman, Michael Xavier, Craig Thomas Lambert, Tom Lewisver 8 más","BBC One. Distribuidora: HBO","Serie de TV. Drama | Siglo XIX","Anne Lister regresa a Halifax, West Yorkshire en 1832, decidida a transformar el destino de su descolorida casa ancestral Shibden Hall.","""[Crítica 2ª temporada]: uno de los grandes dramas de época de nuestros tiempos (...) Es una obra maestra (...) Puntuación: ★★★★★ (sobre 5)"" 
Chitra Ramaswamy: The Guardian
""[Crítica 2ª temporada]: sigue siendo tan vivaz y encantadora como su formidable protagonista"" 
Allison Keene: Paste Magazine
""[Crítica 2ª temporada]: el drama lésbico de época de Sally Wainwright vuelve con nuevas energías, pero no pierde su alma ni su corazón (...) Puntuación: ★★★★ (sobre 5)"" 
Molly Moss: Radio Times
""[Crítica 2ª temporada]: una segunda temporada llena de ritmo y calidez (...) Aunque todavía llora por el pasado, es emocionante ver cómo florece Lister en esta nueva época"" 
Alex Goldsmith : London Evening Standard
""Una gran historia, bien contada (...) Animada, divertida, inteligente y conmovedora (...) 'Gentleman Jack' funciona inmediatamente porque en el momento en el que ves a Jones en el papel de Lister, lo entiendes todo"" 
Tim Goodman: The Hollywood Reporter
""La química entre Sophie Rundle y Suranne Jones es exquisitamente palpable (...) Anne Lister es una de las mujeres más interesantes de la historia británica y uno de los personajes más cautivadores del año"" 
Sadie Gennis: TV Guide
""En su gran mayoría, funciona. Jones y Rundle están magníficas juntas, cada una de ellas sacando el máximo partido a las emociones que ofrece el guion de Wainwright."" 
Caroline Framke: Variety
Mostrar 3 críticas más","2017: Premios BAFTA TV: Nominada a mejor serie de TV - Drama y actriz (Jones)"
"Barry","2018","30 min.","Estados Unidos","Alec Berg (Creador), Bill Hader (Creador), Alec Berg, Bill Hader, Hiro Murai, Maggie Carey, Liza Johnson, Minkie Spiro","Alec Berg, Bill Hader, Taofik Kolade, Sarah Solemani, Duffy Boudreau, Ben Smith, Elizabeth Sarnoff, Emily Hellerver 4 más","David Wingo","Paula Huidobro, Brandon Trost","Bill Hader, Henry Winkler, Stephen Root, Sarah Goldberg, Glenn Fleshler, Mia Juel, Anthony Carrigan, Marcus Brown, Alejandro Furth, Paula Newsome, Michael Irby, Dale Pavinski, John Pirruccello, Mark Ivanir, Karen David, Paul Black, Avi Bernard, Walter Fauntleroy, Robert Curtis Brown, Lou George, Jason Konopisos, Gary Kraus, Dominic Pace, Aris Mendoza, Darrell Britt-Gibson, D'Arcy Carden, Irina Voronina, Jackie Moore, Lee Coc, Rightor Doyle, Kirby Howell-Baptiste, Andy Carey, Zak Lee, Andra Petru, Bella Podaras, Troy Caylak, Nick Gracerver 24 más","HBO. Distribuidora: HBO Max","Serie de TV. Comedia | Comedia negra. Crimen. Teatro","Barry es un asesino a sueldo que descubre su vocación de actor durante una misión en Los Angeles. A partir de ahí tendrá que decidir si debe dedicarse a lo que se le da bien pero no le motiva, o dejarse llevar por su sueño y meterse en el mundillo de la interpretación. ","""[Crítica 3ª temporada]: Su atención al detalle - las interpretaciones, la dirección, la consciencia, la comedia, el sentido del propósito - se unen para hacerla grande"" 
Ben Travers: IndieWire
""[Crítica 3ª temporada]: 'Barry' nunca ha estado mejor (...) supera por completo su cursi premisa para convertirse en una de las experiencias más emocionantes de la televisión"" 
Robert Brian Taylor: Collider
""[Crítica 3ª temporada]: una refrescante re-introducción a una historia muy extraña y maravillosamente cautivadora"" 
Allison Keene: Paste Magazine
""[Crítica 3ª temporada]: una obra maestra sobre lo que significa perdonar y ser perdonado (...) una recompensa satisfactoria para los fans que han esperado casi tres años para tener más de esta historia"" 
Daniel D'Addario: Variety
""[Crítica 3ª temporada]: el tema principal de esta tercera y brillante temporada puede resumirse en este intercambio. segundas oportunidades y cómo se hace creer a la gente que depende ellos cuándo tomarlas"" 
Brian Tallerico: The Playlist
""[Crítica 3ª temporada]: 'Barry' regresa sumamente recargada: más negra e inteligente que nunca. (...) es todo eso a la vez: inocente y profunda, burlona e inteligente, intimista y épica. Como la vida misma. (…) Puntuación: ★★★★★ (sobre 5)"" 
Diego Batlle: OtrosCines.com
""[Crítica 3ª temporada]: 'Barry' sigue logrando congeniar comedia, acción y drama de un modo extraordinario, con escenas de persecuciones y combates que parecen sacadas de una superproducción cinematográfica."" 
Diego Lerer: MicropsiaCine.com
Mostrar 16 críticas más","2019: Emmy: Mejor actor en serie comedia (Bill Hader). 9 nominaciones
2018: Emmy: Mejor actor (Hader) y secundario (Winkler). 6 nominaciones
2019: Globos de Oro: Nominada a mejor serie comedia, actor y actor sec.
2018: Globos de Oro: Nom. a Mejor Serie Com., actor (Hader) y secundario (Winkler)
2018: American Film Institute (AFI): Top 10 - Mejores Programas de TV del año
2019: Critics Choice Awards: Mejor actor comedia (Hader). 4 nominaciones
Mostrar 11 premios más
2018: Critics Choice Awards: Mejor actor (Hader) y secundario (Winkler)
2019: Satellite Awards: Nominada a mejor serie comedia y actor (Bill Hader)
2018: Satellite Awards: Mejor actor (Hader). Nom. a Mejor Serie Comedia-Musical
2019: Sindicato de Productores (PGA): Nominada a Mejor Serie Comedia
2018: Sindicato de Productores (PGA): Nominada a Mejor Serie Comedia
2019: Sindicato de Directores (DGA): Mejor director serie comedia
2018: Sindicato de Directores (DGA): Mejor director serie comedia
2019: Sindicato de Guionistas (WGA): Mejor guion serie comedia
2018: Sindicato de Guionistas (WGA): Mejor guion serie nueva y episodio
2019: Sindicato de Actores (SAG): Nominada a mejor reparto comedia y actor (Hader)
2018: Sindicato de Actores (SAG): Nom. a Mejor actor (Hader y Winkler) y Reparto"
